id,first_name,last_name,city,hotel,score
125,Brinn,Spanton,Wakiso,Hindi,125
126,Emory,Kenchington,Bakunase,Tok Pisin,126
127,Wilmar,Bauld,Samashki,English,127
128,Lorin,Carbry,Fussa,Portuguese,128
129,Mendel,Brayfield,Madur,Swati,129
130,Violet,Wibrew,Phu Kam Yao,Burmese,130
131,Abby,Stickford,Gurlan,Zulu,131
132,Berton,Brookson,Tomislavgrad,Tamil,132
133,Mattie,Bagshaw,Lagoa Santa,Afrikaans,133
134,Jeffy,Hanniger,Poniklá,Hebrew,134
135,Cosette,Jozaitis,Moutsamoudou,Bulgarian,135
136,Flynn,Mitchiner,Tugu,Montenegrin,136
137,Aldus,Deane,Bastak,Estonian,137
138,Mab,Latour,Picoto,Hindi,138
139,Kristy,Livezley,Belleville,Polish,139
140,Willard,Pleasants,Jampang Kulon,Armenian,140
141,Rosabella,Leigh,Pontang Tengah,Maltese,141
142,Levon,Dumphry,Norrköping,Ndebele,142
143,Moreen,Dobrowolski,Äänekoski,Assamese,143
144,Clemens,Blesli,Huashixia,Luxembourgish,144
145,Gwenny,Rowland,Fengping,Norwegian,145
146,Hort,Telfer,Weton,Guaraní,146
147,Camellia,Yanshin,Xiangtan,Greek,147
148,Lee,Adamik,Trnovlje pri Celju,Haitian Creole,148
149,Shannon,Trinbey,Molina,Sotho,149
150,David,Rosenwald,Čakovec,Swahili,150
151,Roger,Mantle,Chãos,Portuguese,151
152,Leona,Bartolomucci,Loutráki,Moldovan,152
153,Charin,Yeulet,Taling,Tetum,153
154,Dario,Hancox,Bagumbayan,French,154
155,Trev,Learman,Thành phố Bạc Liêu,Armenian,155
156,Celinka,Bottrill,Trogan Barat,Icelandic,156
157,Elizabet,Ilive,Sulitair,Amharic,157
158,Dione,Fasson,Huzhen,Tok Pisin,158
159,Egan,Shortland,Kamiichi,Hungarian,159
160,Arny,Few,Didian,Ndebele,160
161,Verene,Harradine,Ondangwa,Tsonga,161
162,Abdel,Tatam,Caminauit,Moldovan,162
163,Ellerey,Yockley,Peimei,Tswana,163
164,Paulette,Springtorpe,Potrerillos,Georgian,164
165,Cicily,Sevior,San Francisco de Yare,Guaraní,165
166,Drucie,Milch,Boro Utara,Thai,166
167,Jeana,Sevitt,Kampong Cham,French,167
168,Robbyn,Lightwood,Modřice,Tamil,168
169,Carly,Seden,Aleg,Afrikaans,169
170,Cammie,Conduit,Wuling,Ndebele,170
171,Seana,Broadist,Trzebieszów,Lithuanian,171
172,Nari,Huffey,Liugong,Malay,172
173,Edward,Meacher,Caxambu,Telugu,173
174,Kevan,Disley,Santo Tomas,Hiri Motu,174
175,Karlie,Sandercroft,Ljungsbro,French,175
176,Waldemar,Strotone,Miejska Górka,Hindi,176
177,Lindi,Cleaver,Krivaja,Northern Sotho,177
178,Frederich,Kiraly,Xianrendu,Icelandic,178
179,Marcello,Licciardo,Sendafa,Lithuanian,179
180,Carlita,Marchington,Widuchowa,Māori,180
181,Ulick,Wyche,Všetaty,Moldovan,181
182,Zebadiah,Drewe,Cabatang,Italian,182
183,Rafferty,Pelosi,Milanów,Filipino,183
184,Koralle,Toffel,Lubichowo,Danish,184
185,Cami,Thurlbourne,Kariya,Guaraní,185
186,Mathilde,Umbers,Huizhou,Montenegrin,186
187,Vitoria,Beeton,Topdac,Tok Pisin,187
188,Geoff,Grossier,Huta Stara B,Fijian,188
189,Barbi,Elmhirst,Lagdo,Malagasy,189
190,Eal,Moorman,Keffi,Mongolian,190
191,Zackariah,Pedrazzi,Ambanja,Bulgarian,191
192,Opalina,Adamiak,Tongzhong,Tsonga,192
193,Daveen,Aberdalgy,Dublje,Bislama,193
194,Karyl,Merlin,Yolöten,Bengali,194
195,Gerhardt,Marxsen,Shaxi,Polish,195
196,Kissee,Gavigan,Pavlovka,Zulu,196
197,Bea,Longfield,Dongli,Kyrgyz,197
198,Gracia,Ayling,Vostryakovo,Quechua,198
199,Goldy,Pember,Zhaojia,Burmese,199
200,Rene,Petracco,Nartkala,Catalan,200
201,Pernell,Elizabeth,Solna,Ndebele,201
202,Archer,Kinney,Taraban Timur,Hebrew,202
203,Colene,Ludee,Xiyang,Bislama,203
204,Moselle,Challes,Nanterre,Marathi,204
205,Barrett,Dirkin,Xiachen,Spanish,205
206,Willi,Baudinelli,Kuala Belait,Czech,206
207,Korrie,Foale,Cuijiamatou,Punjabi,207
208,Jamaal,Nairne,Lipinki Łużyckie,Irish Gaelic,208
209,Cammie,Doumic,Utrecht (stad),Armenian,209
210,Magdalena,Seadon,Oslo,Filipino,210
211,Hestia,Seer,Tororo,Khmer,211
212,Ulises,Claricoats,Verrettes,Maltese,212
213,Jessika,Esslement,Borbon,Quechua,213
214,Victoir,Belton,Tahara,Kazakh,214
215,Maddie,O'Growgane,Huangsha,Dhivehi,215
216,Dael,Abramovicz,Gielniów,Estonian,216
217,Alwyn,Cicetti,Yulin,Korean,217
218,Aland,Brookfield,Itapevi,Zulu,218
219,Jackqueline,Castellone,Malbork,Malay,219
220,Vittorio,Feben,Heping,Quechua,220
221,Hannie,Gutierrez,Güira de Melena,Icelandic,221
222,Jori,Pentycross,Troyes,Malayalam,222
223,Riccardo,Wells,RMI Capitol,Tok Pisin,223
224,Kirby,Flanner,Qiaotou,West Frisian,224
225,Arlyne,Rolfs,Grzybowa Góra,Thai,225
226,Kienan,Humbatch,Neftegorsk,Somali,226
227,Ivan,Fontelles,Henglu,Gagauz,227
228,Cordey,Northam,Lengor,Swati,228
229,Kingston,Alcido,Quibdó,Sotho,229
230,Francine,McMurtyr,Louisville,Tswana,230
231,Ina,Deeprose,Samacá,Danish,231
232,Jsandye,Errigo,Changping,Yiddish,232
233,Doretta,Downie,Madīnat ash Shamāl,Finnish,233
234,Sascha,Depport,Jinzipai,Malagasy,234
235,Cleopatra,Orehead,Kanda,Lao,235
236,Vivyan,Hacquoil,Guantouzui,Assamese,236
237,Jerad,Rowlin,Huoche Xizhan,Gagauz,237
238,Hugues,Rigolle,São Sebastião do Caí,Montenegrin,238
239,Thom,Ellissen,Bombardopolis,Maltese,239
240,Julia,Poulston,Malya,Tetum,240
241,Darsey,Vondrys,Manique,Fijian,241
242,Mildred,Drohun,Lamalewo,Hungarian,242
243,Janeva,Sprague,Danja,West Frisian,243
244,Bartholemy,Fulloway,Houston,Greek,244
245,Doloritas,Clemo,Wonosari,Kurdish,245
246,Geno,Martin,Toulouse,Tajik,246
247,Arman,Sindle,Nagiba,French,247
248,Olympie,Gitting,Deauville,Georgian,248
249,Vonnie,Huller,Dashtobod,Pashto,249
250,Nisse,Aspel,Los Nogales,Malagasy,250
251,Archer,Mayze,Tintafor,Thai,251
252,Rachael,Rowan,Tegalrejo,Malay,252
253,Miltie,Turfus,Phước An,Afrikaans,253
254,Martino,Yegorovnin,Jiangjia,Estonian,254
255,Jaimie,Isles,Huangge,Italian,255
256,Kimmie,Thurley,Tongyangdao,Lao,256
257,Alfy,Everitt,Novyy Urgal,Kannada,257
258,Olivette,Edrich,Requião,French,258
259,Lydie,Rulf,Kaliwates,Irish Gaelic,259
260,Kristo,Trewhela,Alameda,Telugu,260
261,Price,Blaxter,Opoczno,Tswana,261
262,Dallas,Perkis,Quellouno,Hungarian,262
263,Lanie,Iacovolo,San Ignacio de Velasco,Yiddish,263
264,Victoir,Buske,Brodek u Přerova,Kurdish,264
265,Sherman,Philpin,Luotaping,Kannada,265
266,Vanya,Layman,Kristiansand S,Malay,266
267,Arlyne,Dowda,Thị Trấn Sìn Hồ,Hiri Motu,267
268,Bartlet,Prime,Binhe,Tamil,268
269,Tildi,Pash,Xinan,New Zealand Sign Language,269
270,Newton,Look,Avelar,Estonian,270
271,Far,Rourke,Nanggela,Macedonian,271
272,Kathi,Cookley,Arrën,Tajik,272
273,Ewen,Puzey,Intibucá,Punjabi,273
274,Jacobo,Staddart,Baimaqiao,Armenian,274
275,Maryellen,Burnell,Trollhättan,Bengali,275
276,Leann,Arzu,Primorsk,Maltese,276
277,Ora,Chancellor,Escola,Tajik,277
278,Dalt,Thouless,Manassas,Marathi,278
279,Conant,Haselhurst,Tehrān,Pashto,279
280,Timothee,Anney,Nato,French,280
281,Dorice,Jubert,Río Cauto,Zulu,281
282,Kaitlynn,Wainwright,Charleville-Mézières,Kurdish,282
283,Cristie,Hugk,Liushikou,Gagauz,283
284,Shelley,Bascombe,Shahe,Swahili,284
285,Scotty,Ragsdale,Xiangquan,Gujarati,285
286,Laurence,Enevoldsen,Hengjie,Marathi,286
287,Adriane,Andrini,Al Mukallā,Amharic,287
288,Jill,Fintoph,Kainantu,Somali,288
289,Zsa zsa,Midgley,Sasa,Maltese,289
290,Meris,Wort,Kassala,Kashmiri,290
291,Georgeta,Mulvenna,Fenglai,Korean,291
292,Edin,Pettersen,Imotski,Tetum,292
293,Palm,Birkinshaw,Jardim do Seridó,Dzongkha,293
294,Shawnee,Critzen,Xincun,Greek,294
295,Liva,Beamand,Dumlan,Polish,295
296,Fletcher,McCullagh,Machala,Finnish,296
297,Kayle,Claxton,Lyaskovets,Greek,297
298,Binky,Sarfatti,Bandar Seri Begawan,Quechua,298
299,Isidro,Hankard,Karlivka,Albanian,299
300,Nathalie,Ebbing,Fresno,Papiamento,300
301,Kip,Robley,Al Mazār,Papiamento,301
302,Brear,Kikke,Batgrām,Tsonga,302
303,Blayne,Baselio,Sampagar,Dari,303
304,Ilse,Piotr,Usatove,Aymara,304
305,Deena,Earsman,São Pedro da Aldeia,Malagasy,305
306,Giacomo,Stockbridge,Brant,Armenian,306
307,Becca,Roberts,Pancheng,Tok Pisin,307
308,Peterus,McKinnell,Razgrad,Malayalam,308
309,Jana,Elstob,Judita,Montenegrin,309
310,Arnuad,Wildor,Konggar,Kazakh,310
311,Hillery,Londsdale,Zhencheng,Finnish,311
312,Kurt,Van Eeden,Prokop’yevsk,Burmese,312
313,Elisabeth,Chadburn,Arrah,Bulgarian,313
314,Shoshanna,Warters,Ikang,Oriya,314
315,Casar,Shalcros,Bubanza,Belarusian,315
316,Mort,Leggate,Cintra,Belarusian,316
317,Miof mela,Attenborough,Hualmay,Azeri,317
318,Odey,Prester,Nîmes,Haitian Creole,318
319,Agace,Oakly,Liangshuijing,Tok Pisin,319
320,Idaline,Hunton,Lüyang,Dzongkha,320
321,Roy,Cherrington,Pajak,Tswana,321
322,Rossie,Wellfare,Registro,Papiamento,322
323,Meryl,Amner,Anáfi,Mongolian,323
324,Rowen,Pea,Jardin,Georgian,324
325,Harp,Lacase,Altos,Swahili,325
326,Audrie,Motto,Groningen,Burmese,326
327,Edik,Spurgin,Bambakashat,Dhivehi,327
328,Harley,Mattingly,Poços de Caldas,Albanian,328
329,Cordie,Ruffy,Hakui,Lao,329
330,Sammy,Roath,Toksovo,Norwegian,330
331,Leodora,Woolforde,San Pedro,Croatian,331
332,Andree,Inglish,Pulau Pinang,Moldovan,332
333,Rycca,McCullock,Tayabamba,Guaraní,333
334,Lara,Cane,Patiya,Hiri Motu,334
335,Gordon,Perrie,Funaishikawa,Dhivehi,335
336,Cicily,Raubenheimers,Bandhagen,German,336
337,Antoinette,Freda,Aparecida de Goiânia,Georgian,337
338,Jody,Mabey,Sv. Anton,Sotho,338
339,Estevan,Barczynski,Primorsk,Portuguese,339
340,Corrie,Arnull,Omsukchan,Filipino,340
341,Sabrina,Gianninotti,Sladna,Afrikaans,341
342,Franchot,Hanssmann,Lat Yao,Spanish,342
343,Marielle,Bilton,Denver,Tetum,343
344,Rona,Khristyukhin,Shebunino,Lao,344
345,Mella,Gabitis,Mojo,Macedonian,345
346,Kerry,Peperell,Quemú Quemú,Icelandic,346
347,Roderick,Jex,Chantepie,Sotho,347
348,Morgen,Groome,Dallas,Malagasy,348
349,Myrwyn,Noe,Clorinda,Lao,349
350,Rube,Van der Velde,Ayaviri,Georgian,350
351,Helaine,Lechmere,Argentan,Guaraní,351
352,Inger,Raraty,Pas Pul,Dutch,352
353,Aili,Blanchflower,Oslo,Quechua,353
354,Karine,Norsister,Bánica,Kannada,354
355,Peta,Wordington,Moyynkum,Belarusian,355
356,Marcelline,Habble,Paranapanema,Catalan,356
357,D'arcy,Dorward,Sokółka,Portuguese,357
358,Christa,Ruler,Sayapullo,Armenian,358
359,Phineas,Partington,Krasnopillya,Filipino,359
360,Jinny,Pittet,Hefu,West Frisian,360
361,Pieter,le Keux,Hanyin Chengguanzhen,Moldovan,361
362,Wat,Bazek,Yujing,Pashto,362
363,Brennen,Splaven,Solo,Azeri,363
364,Marlo,Hanbury-Brown,Xia Dawo,Tok Pisin,364
365,Rockey,Himpson,São Cristóvão,Hungarian,365
366,Annette,Peaurt,Laprida,Danish,366
367,Greg,Beaston,Vendargues,Haitian Creole,367
368,Avis,O' Reagan,Kingston,Lao,368
369,Selinda,Yeoland,Tralee,Azeri,369
370,Lita,Sansbury,Pérama,Papiamento,370
371,Wendell,Glason,Ranot,Māori,371
372,Callie,Thaw,Maní,Arabic,372
373,Bertrand,Cossins,Keruguya,Tsonga,373
374,Antin,Wingar,Luzhou,Fijian,374
375,Filia,Mc Trusty,Colombo,French,375
376,Pattie,Pashan,Pemberton,Bulgarian,376
377,Jean,Andrew,Tianhe,Persian,377
378,Addie,Bondley,Itajaí,Spanish,378
379,Lonnard,Aaronsohn,Malilipot,Assamese,379
380,Tiertza,Labat,Winseler,Malayalam,380
381,Timmy,Hitter,Wat Sing,Thai,381
382,Maxie,Vella,Borås,Tsonga,382
383,Padraig,Currm,Swedru,Tamil,383
384,Thorny,Bendson,Ramon Magsaysay,Dari,384
385,Vicky,Lamperd,Somerset East,Chinese,385
386,Elset,Issit,Ejidal,Bulgarian,386
387,Hyacinth,Balffye,Mayuan,Burmese,387
388,Ketti,McAlinden,Kadoma,Gujarati,388
389,Eloise,O'dell,Yangyu,Gujarati,389
390,Kenneth,Tocknell,Campinho,Khmer,390
391,Dannye,Yates,Yakimovo,Armenian,391
392,Merrielle,McIlherran,Pingtang,Arabic,392
393,Candis,Garrigan,Brzeg Dolny,Maltese,393
394,Meryl,Cortin,Arraial do Cabo,Hiri Motu,394
395,Tatiana,Keuntje,"Palmas De Gran Canaria, Las",Bislama,395
396,Terra,Aggus,Revava,Tamil,396
397,Nickie,Juschke,Wendo,Croatian,397
398,Emlynne,Hugett,Jingdu,Montenegrin,398
399,Else,Chene,Parnaíba,Lao,399
400,Dallis,Huard,Esperanza,Bengali,400
401,Stacey,Placido,Nyimba,Bulgarian,401
402,Lian,Markie,Torrevieja,Irish Gaelic,402
403,Carroll,Trelease,Roissy Charles-de-Gaulle,Nepali,403
404,Jo ann,Allpress,Shigongqiao,Georgian,404
405,Eloisa,Nelsey,Buenavista,Kazakh,405
406,Huntley,Eve,Kedungwringin,Guaraní,406
407,Cammie,Flaune,Niort,New Zealand Sign Language,407
408,Analise,Chappel,Vatutino,Somali,408
409,Michaelina,Barnewelle,Mawlamyine,Bulgarian,409
410,Carlota,Dolling,Estrada,Punjabi,410
411,Carlotta,Ennals,Gandra,Amharic,411
412,Gordan,Huntly,Kotingnatagete,Hungarian,412
413,Ange,Ketteman,Huaquirca,Bulgarian,413
414,Cherri,Dreher,Masty,Malay,414
415,Donny,Stoven,Idritsa,Korean,415
416,Massimiliano,Bolle,Bente,Swahili,416
417,Fred,Sergean,Kolsh,Punjabi,417
418,Nathanial,Worham,Luzino,Somali,418
419,Gerald,Woliter,Kotlovka,Greek,419
420,Jacquenette,Mersh,Suponevo,French,420
421,Vin,Andrews,Brusyanka,Afrikaans,421
422,Berti,Lehrmann,Varennes,Spanish,422
423,Deloria,Sapir,Hekou,Telugu,423
424,Zenia,Clavey,Kertanegla,Finnish,424
425,Tabbitha,Glauber,Xufu,Yiddish,425
426,Gerti,Luberti,Zhongxin,Japanese,426
427,Bronson,Carrane,Challans,Bosnian,427
428,Karlene,Foch,Şānūr,Norwegian,428
429,Angelica,Lumsdaine,San Antonio,Oriya,429
430,Waldon,Venard,Sim,Spanish,430
431,Aprilette,Sweynson,Chhātak,Amharic,431
432,Dione,Cuesta,Injīl,Montenegrin,432
433,Vivianna,O'Tuohy,Machida,Swahili,433
434,Sada,Coultard,Heishui,Portuguese,434
435,Revkah,Kepp,Kuala Lumpur,Mongolian,435
436,Hurlee,Minihan,Torre do Pinhão,Somali,436
437,Web,Gasking,Mayuge,Kashmiri,437
438,Loralee,Scapens,Zhovti Vody,Hiri Motu,438
439,Derry,Whitwell,Xingnong,Luxembourgish,439
440,Mannie,Filgate,Täby,Filipino,440
441,Sophronia,Ferrettini,Khujirt,Tamil,441
442,Romain,Bulch,Lavezares,Armenian,442
443,Townie,Laddle,Skalat,Yiddish,443
444,Rosella,Clopton,Nice,Filipino,444
445,Winona,Felkin,Chonchi,Filipino,445
446,Jean,Casebourne,Saidpur,Quechua,446
447,Stefano,Cunio,Sawara,Afrikaans,447
448,Staffard,Jenny,Lyubertsy,Nepali,448
449,Dominick,Pevreal,Shuanglu,Kyrgyz,449
450,Linus,Pattesall,Ludvika,Kannada,450
451,Dannie,Gittus,Hai Riêng,Amharic,451
452,Haydon,Lyman,Bègles,Luxembourgish,452
453,Kit,Gloyens,Jijiga,Lao,453
454,Elsy,Scattergood,Vohipaho,Macedonian,454
455,Adan,Cridland,Yuli,Bislama,455
456,Gerty,Grocutt,Sacapulas,Belarusian,456
457,Shawn,Riveles,Nowe Miasto nad Pilicą,Swati,457
458,Beniamino,Rigate,Jingchuan Chengguanzhen,Guaraní,458
459,Darnell,Karim,Malhão,Montenegrin,459
460,Arlinda,Bahia,Barão de São Miguel,Japanese,460
461,Ricardo,Gravenall,Nanggewer,Belarusian,461
462,Nobie,Oliphard,Hluboká nad Vltavou,Dari,462
463,Nerta,Hullock,Волочаевское,French,463
464,Jeremy,Cheyney,Santa Fe,Luxembourgish,464
465,Dell,Issacof,Yanino Vtoroye,Malayalam,465
466,Care,Brettell,Chichigalpa,Sotho,466
467,Cliff,Blinckhorne,Fengyang Fuchengzhen,Dutch,467
468,Jackquelin,Codron,Kebonan,Afrikaans,468
469,Waverley,Commuzzo,Dolisie,Portuguese,469
470,Yolanda,Lawless,Nong Khai,Haitian Creole,470
471,Angelia,Kitchenman,Sortavala,Thai,471
472,Isaak,Spurritt,Toulouse,Bulgarian,472
473,Eugene,Outram,Nikinci,Afrikaans,473
474,Eugen,Bellwood,Livingstone,Dari,474
475,Kaleb,Childe,Jardín,Malayalam,475
476,Ciel,Chiommienti,Libas,Irish Gaelic,476
477,Elysha,Lehmann,Palmas,Kannada,477
478,Max,Fredy,Orlando,French,478
479,Abigael,Gilley,Nanlü,German,479
480,Alberto,Bourgour,Konëvo,Fijian,480
481,Torrin,Skeemor,Sidamukti,Zulu,481
482,Deane,Brognot,Épinal,Telugu,482
483,Bertie,Ethridge,Calauan,Latvian,483
484,Yul,Brizland,Kawagoe,Haitian Creole,484
485,Aileen,Hillin,Xiadu,French,485
486,Nathalia,Wildgoose,Bayantal,Tetum,486
487,Courtnay,Belone,Walton,Chinese,487
488,Gilbert,Stoaks,Bošnjaci,Romanian,488
489,Giovanni,Bradder,Paços de Ferreira,Lao,489
490,Winnifred,Kelberer,Xiamayu,Guaraní,490
491,Fifine,Scoyles,Pembuanghulu,Lithuanian,491
492,Susy,Balk,Carvoeira,Icelandic,492
493,Jude,Heck,Hengjian,Kyrgyz,493
494,Aliza,Seydlitz,Žrnovo,Burmese,494
495,Jesse,Bartalin,Cértegui,Pashto,495
496,Brittni,MacKettrick,Yangchun,Azeri,496
497,Esther,Blamphin,Eloúnda,Gujarati,497
498,Deeyn,Purse,Mafang,Dari,498
499,Brennen,Deeves,Wangba,Albanian,499
500,Anna-diana,O'Cannovane,San Pedro,Bengali,500
501,Manolo,Steggals,Belišće,Kazakh,501
502,Rosemonde,Pitkethly,Baryshevo,Amharic,502
503,Marin,Jeannaud,Liuqiao,Kannada,503
504,Pryce,Brimham,Takahagi,Macedonian,504
505,Jori,MacAirt,Kota Ternate,Kazakh,505
506,Cathryn,Robelet,Potou,Moldovan,506
507,Cordelia,Kays,Drezdenko,Chinese,507
508,Brion,Lindup,Tsyelyakhany,Bengali,508
509,Cassandra,Riguard,Newark,Filipino,509
510,Neile,Rockhall,Tuchlovice,Hebrew,510
511,Lennie,Perkins,Borgo Maggiore,Hebrew,511
512,Valentine,Enrigo,Chefchaouene,Korean,512
513,Olivero,Aldersea,Awjilah,Bosnian,513
514,Luciano,Chaise,Zamora,Indonesian,514
515,Yorgo,Rudloff,Shuangtang,Haitian Creole,515
516,Saleem,Ethersey,Tonggoh,Estonian,516
517,Beaufort,Pygott,Columbus,Khmer,517
518,Si,Hockey,El Paraíso,Swahili,518
519,Zachery,Haughan,Alverca do Ribatejo,Dzongkha,519
520,Zachary,Hoopper,Pustomyty,Swati,520
521,Andrea,Loines,Tomarovka,Italian,521
522,Maribel,Defew,Hörby,Northern Sotho,522
523,Elenore,Rimer,Akkol’,Dzongkha,523
524,Spencer,Benardeau,Strängnäs,New Zealand Sign Language,524
525,Lorena,Ianittello,Cimaragas,Gagauz,525
526,Inna,Sturridge,Jinhe,Georgian,526
527,Stormy,O' Mara,Tržič,Papiamento,527
528,Rosemaria,Lippingwell,Postupice,Armenian,528
